Codigo_Venda,ID_Produto,ID_Fornecedor,Quantidade_Venda,Preco_Unitario,Custo_Frete
SO57872,528,2,1,4.99,0.1248
SO57922,528,3,1,4.99,0.1248
SO57973,528,4,1,4.99,0.1248
SO57992,528,5,1,4.99,0.1248
SO57995,528,6,1,4.99,0.1248
SO58090,528,7,1,4.99,0.1248
SO58157,528,8,1,4.99,0.1248
SO58171,528,9,1,4.99,0.1248
SO58220,528,10,1,4.99,0.1248
SO58268,528,11,1,4.99,0.1248
SO58618,528,12,1,4.99,0.1248
SO58657,528,13,1,4.99,0.1248
SO58664,528,14,1,4.99,0.1248
SO58736,528,15,1,4.99,0.1248
SO58738,528,16,1,4.99,0.1248
SO58792,528,17,1,4.99,0.1248
SO58796,528,18,1,4.99,0.1248
SO58798,528,19,1,4.99,0.1248
SO58856,528,20,1,4.99,0.1248
SO59181,528,21,1,4.99,0.1248
SO59182,528,22,1,4.99,0.1248
SO59305,528,23,1,4.99,0.1248
SO59447,528,24,1,4.99,0.1248
SO59519,528,25,1,4.99,0.1248
SO59527,528,26,1,4.99,0.1248
SO59603,528,27,1,4.99,0.1248
SO59620,528,28,1,4.99,0.1248
SO59662,528,29,1,4.99,0.1248
SO59781,528,30,1,4.99,0.1248
SO59783,528,31,1,4.99,0.1248
SO59935,528,32,1,4.99,0.1248
SO59949,528,33,1,4.99,0.1248
SO60006,528,1,1,4.99,0.1248
SO60015,528,2,1,4.99,0.1248
SO60072,528,3,1,4.99,0.1248
SO60073,528,4,1,4.99,0.1248
SO60213,528,5,1,4.99,0.1248
SO60347,528,6,1,4.99,0.1248
SO60483,528,7,1,4.99,0.1248
SO60661,528,8,1,4.99,0.1248
SO60793,528,9,1,4.99,0.1248
SO60904,528,10,1,4.99,0.1248
SO60905,528,11,1,4.99,0.1248
SO60912,528,12,1,4.99,0.1248
SO60986,528,13,1,4.99,0.1248
SO60988,528,14,1,4.99,0.1248
SO60998,528,15,1,4.99,0.1248
SO61000,528,16,1,4.99,0.1248
SO61132,528,17,1,4.99,0.1248
SO61147,528,18,1,4.99,0.1248
SO61338,528,19,1,4.99,0.1248
SO61457,528,20,1,4.99,0.1248
SO61500,528,21,1,4.99,0.1248
SO61576,528,22,1,4.99,0.1248
SO61704,528,23,1,4.99,0.1248
SO61755,528,24,1,4.99,0.1248
SO61813,528,25,1,4.99,0.1248
SO61814,528,26,1,4.99,0.1248
SO61872,528,27,1,4.99,0.1248
SO61997,528,28,1,4.99,0.1248
SO62050,528,29,1,4.99,0.1248
SO62196,528,30,1,4.99,0.1248
SO62260,528,31,1,4.99,0.1248
SO62327,528,32,1,4.99,0.1248
SO62358,528,33,1,4.99,0.1248
SO62363,528,34,1,4.99,0.1248
SO62423,528,35,1,4.99,0.1248
SO62424,528,1,1,4.99,0.1248
SO62436,528,2,1,4.99,0.1248
SO62438,528,3,1,4.99,0.1248
SO62601,528,4,1,4.99,0.1248
SO62603,528,5,1,4.99,0.1248
SO62718,528,6,1,4.99,0.1248
SO62897,528,7,1,4.99,0.1248
SO62903,528,8,1,4.99,0.1248
SO62915,528,9,1,4.99,0.1248
SO63025,528,10,1,4.99,0.1248
SO63026,528,11,1,4.99,0.1248
SO63316,528,12,1,4.99,0.1248
SO63317,528,13,1,4.99,0.1248
SO63388,528,14,1,4.99,0.1248
SO63453,528,15,1,4.99,0.1248
SO63467,528,16,1,4.99,0.1248
SO63571,528,17,1,4.99,0.1248
SO63578,528,18,1,4.99,0.1248
SO63580,528,19,1,4.99,0.1248
SO63644,528,20,1,4.99,0.1248
SO63662,528,21,1,4.99,0.1248
SO63663,528,22,1,4.99,0.1248
SO64080,528,23,1,4.99,0.1248
SO64081,528,24,1,4.99,0.1248
SO64140,528,25,1,4.99,0.1248
SO64271,528,26,1,4.99,0.1248
SO64406,528,27,1,4.99,0.1248
SO64556,528,28,1,4.99,0.1248
SO64578,528,29,1,4.99,0.1248
SO64630,528,10,1,4.99,0.1248
SO64705,528,11,1,4.99,0.1248
SO64745,528,12,1,4.99,0.1248
SO64754,528,13,1,4.99,0.1248
SO64877,528,14,1,4.99,0.1248
SO64909,528,15,1,4.99,0.1248
SO64982,528,16,1,4.99,0.1248
SO64986,528,17,1,4.99,0.1248
SO65114,528,18,1,4.99,0.1248
SO65125,528,19,1,4.99,0.1248
SO65417,528,20,1,4.99,0.1248
SO65418,528,21,1,4.99,0.1248
SO65472,528,22,1,4.99,0.1248
SO65478,528,23,1,4.99,0.1248
SO65649,528,24,1,4.99,0.1248
SO65654,528,25,1,4.99,0.1248
SO65704,528,26,1,4.99,0.1248
SO65766,528,27,1,4.99,0.1248
SO65922,528,28,1,4.99,0.1248
SO66172,528,29,1,4.99,0.1248
SO66388,528,17,1,4.99,0.1248
SO66601,528,18,1,4.99,0.1248
SO66659,528,19,1,4.99,0.1248
SO66984,528,20,1,4.99,0.1248
SO67037,528,21,1,4.99,0.1248
SO67125,528,22,1,4.99,0.1248
SO67362,528,23,1,4.99,0.1248
SO67364,528,24,1,4.99,0.1248
SO67436,528,25,1,4.99,0.1248
SO67441,528,26,1,4.99,0.1248
SO67517,528,27,1,4.99,0.1248
SO67518,528,28,1,4.99,0.1248
SO67596,528,29,1,4.99,0.1248
SO67800,528,1,1,4.99,0.1248
SO67870,528,2,1,4.99,0.1248
SO68048,528,3,1,4.99,0.1248
SO68119,528,4,1,4.99,0.1248
SO68168,528,5,1,4.99,0.1248
SO68216,528,6,1,4.99,0.1248
SO68223,528,7,1,4.99,0.1248
SO68298,528,8,1,4.99,0.1248
SO68304,528,9,1,4.99,0.1248
SO68364,528,10,1,4.99,0.1248
SO68488,528,11,1,4.99,0.1248
SO68639,528,12,1,4.99,0.1248
SO68707,528,13,1,4.99,0.1248
SO68712,528,14,1,4.99,0.1248
SO68764,528,15,1,4.99,0.1248
SO68765,528,16,1,4.99,0.1248
SO68766,528,17,1,4.99,0.1248
SO68908,528,18,1,4.99,0.1248
SO68979,528,19,1,4.99,0.1248
SO69277,528,20,1,4.99,0.1248
SO69686,528,21,1,4.99,0.1248
SO69687,528,22,1,4.99,0.1248
SO69688,528,23,1,4.99,0.1248
SO69690,528,24,1,4.99,0.1248
SO69691,528,25,1,4.99,0.1248
SO69692,528,26,1,4.99,0.1248
SO69830,528,27,1,4.99,0.1248
SO69832,528,28,1,4.99,0.1248
SO69893,528,29,1,4.99,0.1248
SO69895,528,30,1,4.99,0.1248
SO69969,528,31,1,4.99,0.1248
SO69978,528,32,1,4.99,0.1248
SO70119,528,33,1,4.99,0.1248
SO70275,528,1,1,4.99,0.1248
SO70285,528,2,1,4.99,0.1248
SO70394,528,3,1,4.99,0.1248
SO70539,528,4,1,4.99,0.1248
SO70772,528,5,1,4.99,0.1248
SO70888,528,6,1,4.99,0.1248
SO70899,528,7,1,4.99,0.1248
SO71459,528,8,1,4.99,0.1248
SO71519,528,9,1,4.99,0.1248
SO71520,528,10,1,4.99,0.1248
SO71523,528,11,1,4.99,0.1248
SO71584,528,12,1,4.99,0.1248
SO71648,528,13,1,4.99,0.1248
SO71732,528,14,1,4.99,0.1248
SO71735,528,15,1,4.99,0.1248
SO71967,528,16,1,4.99,0.1248
SO72024,528,17,1,4.99,0.1248
SO72079,528,18,1,4.99,0.1248
SO72159,528,19,1,4.99,0.1248
SO72304,528,20,1,4.99,0.1248
SO72305,528,21,1,4.99,0.1248
SO72377,528,22,1,4.99,0.1248
SO72378,528,23,1,4.99,0.1248
SO72380,528,24,1,4.99,0.1248
SO72456,528,25,1,4.99,0.1248
SO72463,528,26,1,4.99,0.1248
SO72533,528,27,1,4.99,0.1248
SO72534,528,28,1,4.99,0.1248
SO72607,528,29,1,4.99,0.1248
SO72685,528,1,1,4.99,0.1248
SO72752,528,2,1,4.99,0.1248
SO72812,528,3,1,4.99,0.1248
SO72887,528,4,1,4.99,0.1248
SO72980,528,5,1,4.99,0.1248
SO72989,528,6,1,4.99,0.1248
SO73057,528,7,1,4.99,0.1248
SO73128,528,8,1,4.99,0.1248
SO73203,528,9,1,4.99,0.1248
SO73205,528,10,1,4.99,0.1248
SO73209,528,11,1,4.99,0.1248
SO73210,528,12,1,4.99,0.1248
SO73434,528,13,1,4.99,0.1248
SO73449,528,14,1,4.99,0.1248
SO73610,528,15,1,4.99,0.1248
SO73666,528,16,1,4.99,0.1248
SO73816,528,17,1,4.99,0.1248
SO73833,528,18,1,4.99,0.1248
SO73895,528,19,1,4.99,0.1248
SO73897,528,20,1,4.99,0.1248
SO73973,528,21,1,4.99,0.1248
SO73974,528,22,1,4.99,0.1248
SO73976,528,23,1,4.99,0.1248
SO73986,528,24,1,4.99,0.1248
SO74111,528,25,1,4.99,0.1248
SO74171,528,26,1,4.99,0.1248
SO74265,528,27,1,4.99,0.1248
SO74285,528,28,1,4.99,0.1248
SO74325,528,29,1,4.99,0.1248
SO74395,528,1,1,4.99,0.1248
SO74396,528,2,1,4.99,0.1248
SO74429,528,3,1,4.99,0.1248
SO74452,528,4,1,4.99,0.1248
SO74456,528,5,1,4.99,0.1248
SO74465,528,6,1,4.99,0.1248
SO74573,528,7,1,4.99,0.1248
SO74580,528,8,1,4.99,0.1248
SO74629,528,9,1,4.99,0.1248
SO74708,528,10,1,4.99,0.1248
SO74715,528,11,1,4.99,0.1248
SO74731,528,12,1,4.99,0.1248
SO74750,528,13,1,4.99,0.1248
SO74827,528,14,1,4.99,0.1248
SO74867,528,15,1,4.99,0.1248
SO74899,528,16,1,4.99,0.1248
SO74957,528,17,1,4.99,0.1248
SO74986,528,18,1,4.99,0.1248
SO75105,528,19,1,4.99,0.1248
SO75106,528,20,1,4.99,0.1248
SO51899,477,21,1,4.99,0.1248
SO51947,477,22,1,4.99,0.1248
SO51989,477,23,1,4.99,0.1248
SO52133,477,24,1,4.99,0.1248
SO52183,477,25,1,4.99,0.1248
SO52186,477,26,1,4.99,0.1248
SO52187,477,27,1,4.99,0.1248
SO52235,477,28,1,4.99,0.1248
SO52241,477,29,1,4.99,0.1248
SO52242,477,1,1,4.99,0.1248
SO52306,477,2,1,4.99,0.1248
SO52592,477,3,1,4.99,0.1248
SO52694,477,4,1,4.99,0.1248
SO52745,477,5,1,4.99,0.1248
SO52799,477,6,1,4.99,0.1248
SO52802,477,7,1,4.99,0.1248
SO52864,477,8,1,4.99,0.1248
SO52985,477,9,1,4.99,0.1248
SO53212,477,10,1,4.99,0.1248
SO53311,477,11,1,4.99,0.1248
SO53421,477,12,1,4.99,0.1248
SO53799,477,13,1,4.99,0.1248
SO53801,477,14,1,4.99,0.1248
SO53802,477,15,1,4.99,0.1248
SO53844,477,16,1,4.99,0.1248
SO53895,477,17,1,4.99,0.1248
SO54001,477,18,1,4.99,0.1248
SO54058,477,19,1,4.99,0.1248
SO54059,477,20,1,4.99,0.1248
SO54063,477,21,1,4.99,0.1248
SO54158,477,22,1,4.99,0.1248
SO54160,477,23,1,4.99,0.1248
SO54281,477,24,1,4.99,0.1248
SO54283,477,25,1,4.99,0.1248
SO54400,477,26,1,4.99,0.1248
SO54401,477,27,1,4.99,0.1248
SO54448,477,28,1,4.99,0.1248
SO54556,477,29,1,4.99,0.1248
SO54624,477,1,1,4.99,0.1248
SO54684,477,2,1,4.99,0.1248
SO54842,477,3,1,4.99,0.1248
SO54905,477,4,1,4.99,0.1248
SO54998,477,5,1,4.99,0.1248
SO55000,477,6,1,4.99,0.1248
SO55056,477,7,1,4.99,0.1248
SO55162,477,8,1,4.99,0.1248
SO55201,477,9,1,4.99,0.1248
SO55414,477,10,1,4.99,0.1248
SO55524,477,11,1,4.99,0.1248
SO55527,477,12,1,4.99,0.1248
SO55576,477,13,1,4.99,0.1248
SO55631,477,14,1,4.99,0.1248
SO55705,477,15,1,4.99,0.1248
SO55763,477,16,1,4.99,0.1248
SO55942,477,17,1,4.99,0.1248
SO55991,477,18,1,4.99,0.1248
SO55992,477,19,1,4.99,0.1248
SO56043,477,20,1,4.99,0.1248
SO56153,477,21,1,4.99,0.1248
SO56203,477,22,1,4.99,0.1248
SO56246,477,23,1,4.99,0.1248
SO56400,477,24,1,4.99,0.1248
SO56456,477,25,1,4.99,0.1248
SO56503,477,26,1,4.99,0.1248
SO56559,477,27,1,4.99,0.1248
SO56659,477,28,1,4.99,0.1248
SO56774,477,29,1,4.99,0.1248
SO56872,477,1,1,4.99,0.1248
SO56978,477,2,1,4.99,0.1248
SO57269,477,3,1,4.99,0.1248
SO57331,477,4,1,4.99,0.1248
SO57332,477,5,1,4.99,0.1248
SO57391,477,6,1,4.99,0.1248
SO57396,477,7,1,4.99,0.1248
SO57447,477,8,1,4.99,0.1248
SO57552,477,9,1,4.99,0.1248
SO57650,477,10,1,4.99,0.1248
SO57715,477,11,1,4.99,0.1248
SO58095,477,12,1,4.99,0.1248
SO58377,477,13,1,4.99,0.1248
SO58439,477,14,1,4.99,0.1248
SO58607,477,15,1,4.99,0.1248
SO58663,477,16,1,4.99,0.1248
SO58729,477,17,1,4.99,0.1248
SO58734,477,18,1,4.99,0.1248
SO58865,477,19,1,4.99,0.1248
SO59162,477,20,1,4.99,0.1248
SO59167,477,21,1,4.99,0.1248
SO59168,477,22,1,4.99,0.1248
SO59434,477,23,1,4.99,0.1248
SO59599,477,24,1,4.99,0.1248
SO59776,477,25,1,4.99,0.1248
SO59779,477,26,1,4.99,0.1248
SO59851,477,27,1,4.99,0.1248
SO59853,477,28,1,4.99,0.1248
SO59854,477,29,1,4.99,0.1248
SO60210,477,1,1,4.99,0.1248
SO60275,477,2,1,4.99,0.1248
SO60399,477,3,1,4.99,0.1248
SO60584,477,4,1,4.99,0.1248
SO60588,477,5,1,4.99,0.1248
SO60589,477,6,1,4.99,0.1248
SO60658,477,7,1,4.99,0.1248
SO60717,477,8,1,4.99,0.1248
SO60787,477,9,1,4.99,0.1248
SO60790,477,10,1,4.99,0.1248
SO60791,477,11,1,4.99,0.1248
SO60910,477,12,1,4.99,0.1248
SO60983,477,13,1,4.99,0.1248
SO61127,477,14,1,4.99,0.1248
SO61294,477,15,1,4.99,0.1248
SO61742,477,16,1,4.99,0.1248
SO61749,477,17,1,4.99,0.1248
SO61807,477,18,1,4.99,0.1248
SO61808,477,19,1,4.99,0.1248
SO61937,477,20,1,4.99,0.1248
SO62049,477,21,1,4.99,0.1248
SO62113,477,22,1,4.99,0.1248
SO62158,477,23,1,4.99,0.1248
SO62195,477,24,1,4.99,0.1248
SO62259,477,25,1,4.99,0.1248
SO62311,477,26,1,4.99,0.1248
SO62362,477,27,1,4.99,0.1248
SO62599,477,28,1,4.99,0.1248
SO62600,477,29,1,4.99,0.1248
SO62902,477,1,1,4.99,0.1248
SO62963,477,2,1,4.99,0.1248
SO63313,477,3,1,4.99,0.1248
SO63381,477,4,1,4.99,0.1248
SO63384,477,5,1,4.99,0.1248
SO63452,477,6,1,4.99,0.1248
SO63521,477,7,1,4.99,0.1248
SO63522,477,8,1,4.99,0.1248
SO63648,477,9,1,4.99,0.1248
SO63712,477,10,1,4.99,0.1248
SO63781,477,11,1,4.99,0.1248
SO63782,477,12,1,4.99,0.1248
SO63847,477,13,1,4.99,0.1248
SO63903,477,14,1,4.99,0.1248
SO64328,477,15,1,4.99,0.1248
SO64378,477,16,1,4.99,0.1248
SO64401,477,17,1,4.99,0.1248
SO64484,477,18,1,4.99,0.1248
SO64552,477,19,1,4.99,0.1248
SO64637,477,20,1,4.99,0.1248
SO64818,477,21,1,4.99,0.1248
SO64874,477,22,1,4.99,0.1248
SO64917,477,23,1,4.99,0.1248
SO64974,477,24,1,4.99,0.1248
SO65111,477,25,1,4.99,0.1248
SO65416,477,26,1,4.99,0.1248
SO65474,477,27,1,4.99,0.1248
SO65476,477,28,1,4.99,0.1248
SO65521,477,29,1,4.99,0.1248
SO65522,477,1,1,4.99,0.1248
SO65579,477,2,1,4.99,0.1248
SO65581,477,3,1,4.99,0.1248
SO65653,477,4,1,4.99,0.1248
SO65695,477,5,1,4.99,0.1248
SO65827,477,6,1,4.99,0.1248
SO65974,477,7,1,4.99,0.1248
SO66044,477,8,1,4.99,0.1248
SO66169,477,9,1,4.99,0.1248
SO66171,477,10,1,4.99,0.1248
SO66287,477,11,1,4.99,0.1248
SO66462,477,12,1,4.99,0.1248
SO66463,477,13,1,4.99,0.1248
SO66599,477,14,1,4.99,0.1248
SO66663,477,15,1,4.99,0.1248
SO66717,477,16,1,4.99,0.1248
SO66849,477,17,1,4.99,0.1248
SO66850,477,18,1,4.99,0.1248
SO67041,477,19,1,4.99,0.1248
SO67043,477,20,1,4.99,0.1248
SO67368,477,21,1,4.99,0.1248
SO67439,477,22,1,4.99,0.1248
SO67440,477,23,1,4.99,0.1248
SO67599,477,24,1,4.99,0.1248
SO67601,477,25,1,4.99,0.1248
SO67794,477,26,1,4.99,0.1248
SO67924,477,27,1,4.99,0.1248
SO68043,477,28,1,4.99,0.1248
SO68044,477,29,1,4.99,0.1248
SO68118,477,1,1,4.99,0.1248
SO68220,477,2,1,4.99,0.1248
SO68301,477,3,1,4.99,0.1248
SO68302,477,4,1,4.99,0.1248
SO68303,477,5,1,4.99,0.1248
SO68574,477,6,1,4.99,0.1248
SO68702,477,7,1,4.99,0.1248
SO68703,477,8,1,4.99,0.1248
SO68706,477,9,1,4.99,0.1248
SO68708,477,10,1,4.99,0.1248
SO68756,477,11,1,4.99,0.1248
SO68843,477,12,1,4.99,0.1248
SO68977,477,13,1,4.99,0.1248
SO69113,477,14,1,4.99,0.1248
SO69161,477,15,1,4.99,0.1248
SO69190,477,16,1,4.99,0.1248
SO69274,477,17,1,4.99,0.1248
SO69333,477,18,1,4.99,0.1248
SO69601,477,19,1,4.99,0.1248
SO69968,477,20,1,4.99,0.1248
SO70046,477,21,1,4.99,0.1248
SO70048,477,22,1,4.99,0.1248
SO70049,477,23,1,4.99,0.1248
SO70116,477,24,1,4.99,0.1248
SO70117,477,25,1,4.99,0.1248
SO70118,477,26,1,4.99,0.1248
SO70181,477,27,1,4.99,0.1248
SO70334,477,28,1,4.99,0.1248
SO70337,477,29,1,4.99,0.1248
SO70401,477,1,1,4.99,0.1248
SO70402,477,2,1,4.99,0.1248
SO70624,477,3,1,4.99,0.1248
SO70627,477,4,1,4.99,0.1248
SO70693,477,5,1,4.99,0.1248
SO70835,477,6,1,4.99,0.1248
SO70838,477,7,1,4.99,0.1248
SO70896,477,8,1,4.99,0.1248
SO70965,477,9,1,4.99,0.1248
SO71042,477,10,1,4.99,0.1248
SO71043,477,11,1,4.99,0.1248
SO71045,477,12,1,4.99,0.1248
SO71303,477,13,1,4.99,0.1248
SO71380,477,14,1,4.99,0.1248
SO71440,477,15,1,4.99,0.1248
SO71441,477,16,1,4.99,0.1248
SO71516,477,17,1,4.99,0.1248
SO71518,477,18,1,4.99,0.1248
SO71580,477,19,1,4.99,0.1248
SO71644,477,20,1,4.99,0.1248
SO71646,477,21,1,4.99,0.1248
SO72088,477,22,1,4.99,0.1248
SO72212,477,23,1,4.99,0.1248
SO72373,477,24,1,4.99,0.1248
SO72458,477,25,1,4.99,0.1248
SO72460,477,26,1,4.99,0.1248
SO72532,477,27,1,4.99,0.1248
SO72608,477,28,1,4.99,0.1248
SO72672,477,29,1,4.99,0.1248
SO72750,477,1,1,4.99,0.1248
SO72876,477,2,1,4.99,0.1248
SO73208,477,3,1,4.99,0.1248
SO73285,477,4,1,4.99,0.1248
SO73286,477,5,1,4.99,0.1248
SO73356,477,6,1,4.99,0.1248
SO73442,477,7,1,4.99,0.1248
SO73445,477,8,1,4.99,0.1248
SO73526,477,9,1,4.99,0.1248
SO73533,477,10,1,4.99,0.1248
SO73671,477,11,1,4.99,0.1248
SO73743,477,12,1,4.99,0.1248
SO73886,477,13,1,4.99,0.1248
SO73892,477,14,1,4.99,0.1248
SO73972,477,15,1,4.99,0.1248
SO74046,477,16,1,4.99,0.1248
SO74050,477,17,1,4.99,0.1248
SO74294,477,18,1,4.99,0.1248
SO74319,477,19,1,4.99,0.1248
SO74322,477,20,1,4.99,0.1248
SO74351,477,21,1,4.99,0.1248
SO74392,477,22,1,4.99,0.1248
SO74394,477,23,1,4.99,0.1248
SO74453,477,24,1,4.99,0.1248
SO74489,477,25,1,4.99,0.1248
SO74543,477,26,1,4.99,0.1248
SO74602,477,27,1,4.99,0.1248
SO74604,477,28,1,4.99,0.1248
SO74640,477,29,1,4.99,0.1248
SO74664,477,1,1,4.99,0.1248
SO74666,477,2,1,4.99,0.1248
SO74667,477,3,1,4.99,0.1248
SO74670,477,4,1,4.99,0.1248
SO74735,477,5,1,4.99,0.1248
SO74865,477,6,1,4.99,0.1248
SO74866,477,7,1,4.99,0.1248
SO74897,477,8,1,4.99,0.1248
SO74955,477,9,1,4.99,0.1248
SO74956,477,10,1,4.99,0.1248
SO74958,477,11,1,4.99,0.1248
SO75047,477,12,1,4.99,0.1248
SO51985,530,13,1,4.99,0.1248
SO52336,530,14,1,4.99,0.1248
SO52486,530,15,1,4.99,0.1248
SO52685,530,16,1,4.99,0.1248
SO53144,530,17,1,4.99,0.1248
SO53630,530,18,1,4.99,0.1248
SO53733,530,19,1,4.99,0.1248
SO54153,530,20,1,4.99,0.1248
SO54335,530,21,1,4.99,0.1248
SO54538,530,22,1,4.99,0.1248
SO54728,530,23,1,4.99,0.1248
SO55103,530,24,1,4.99,0.1248
SO55466,530,25,1,4.99,0.1248
SO55828,530,26,1,4.99,0.1248
SO55882,530,27,1,4.99,0.1248
SO55934,530,28,1,4.99,0.1248
SO56075,530,29,1,4.99,0.1248
SO56138,530,1,1,4.99,0.1248
SO56196,530,2,1,4.99,0.1248
SO56234,530,3,1,4.99,0.1248
SO56235,530,4,1,4.99,0.1248
SO56652,530,5,1,4.99,0.1248
SO56709,530,6,1,4.99,0.1248
SO56712,530,7,1,4.99,0.1248
SO56864,530,8,1,4.99,0.1248
SO57385,530,9,1,4.99,0.1248
SO58204,530,10,1,4.99,0.1248
SO58852,530,11,1,4.99,0.1248
SO59222,530,12,1,4.99,0.1248
SO59661,530,13,1,4.99,0.1248
SO59770,530,14,1,4.99,0.1248
SO59844,530,15,1,4.99,0.1248
SO60135,530,16,1,4.99,0.1248
SO60975,530,17,1,4.99,0.1248
SO61046,530,18,1,4.99,0.1248
SO61387,530,19,1,4.99,0.1248
SO61930,530,20,1,4.99,0.1248
SO61931,530,21,1,4.99,0.1248
SO62037,530,22,1,4.99,0.1248
SO62185,530,23,1,4.99,0.1248
SO62645,530,24,1,4.99,0.1248
SO62772,530,25,1,4.99,0.1248
SO62773,530,26,1,4.99,0.1248
SO62892,530,27,1,4.99,0.1248
SO63074,530,28,1,4.99,0.1248
SO64015,530,29,1,4.99,0.1248
SO64132,530,1,1,4.99,0.1248
SO64257,530,2,1,4.99,0.1248
SO64867,530,3,1,4.99,0.1248
SO65340,530,4,1,4.99,0.1248
SO65645,530,5,1,4.99,0.1248
SO65964,530,6,1,4.99,0.1248
SO66097,530,7,1,4.99,0.1248
SO66217,530,8,1,4.99,0.1248
SO66524,530,9,1,4.99,0.1248
SO67218,530,10,1,4.99,0.1248
SO68165,530,11,1,4.99,0.1248
SO68286,530,12,1,4.99,0.1248
SO68287,530,13,1,4.99,0.1248
SO68416,530,14,1,4.99,0.1248
SO68692,530,15,1,4.99,0.1248
SO68693,530,16,1,4.99,0.1248
SO69107,530,17,1,4.99,0.1248
SO69330,530,18,1,4.99,0.1248
SO69809,530,19,1,4.99,0.1248
SO70039,530,20,1,4.99,0.1248
SO70263,530,21,1,4.99,0.1248
SO70389,530,22,1,4.99,0.1248
SO71295,530,23,1,4.99,0.1248
SO71638,530,24,1,4.99,0.1248
SO71707,530,25,1,4.99,0.1248
SO71964,530,26,1,4.99,0.1248
SO72016,530,27,1,4.99,0.1248
SO72076,530,28,1,4.99,0.1248
