Codigo_Venda,ID_Produto,Quantidade_Venda,Preco_Unitario,Custo_Frete,Data_Venda
SO64081,528,1,4.99,0.1248,2013-08-12 0:00
SO64140,528,1,4.99,0.1248,2013-08-13 0:00
SO64271,528,1,4.99,0.1248,2013-08-15 0:00
SO64406,528,1,4.99,0.1248,2013-08-17 0:00
SO64556,528,1,4.99,0.1248,2013-08-19 0:00
SO64578,528,1,4.99,0.1248,2013-08-19 0:00
SO64630,528,1,4.99,0.1248,2013-08-20 0:00
SO64705,528,1,4.99,0.1248,2013-08-21 0:00
SO64745,528,1,4.99,0.1248,2013-08-22 0:00
SO64754,528,1,4.99,0.1248,2013-08-22 0:00
SO64877,528,1,4.99,0.1248,2013-08-24 0:00
SO64909,528,1,4.99,0.1248,2013-08-25 0:00
SO64982,528,1,4.99,0.1248,2013-08-26 0:00
SO64986,528,1,4.99,0.1248,2013-08-26 0:00
SO65114,528,1,4.99,0.1248,2013-08-28 0:00
SO65125,528,1,4.99,0.1248,2013-08-28 0:00
SO65417,528,1,4.99,0.1248,2013-08-30 0:00
SO65418,528,1,4.99,0.1248,2013-08-30 0:00
SO65472,528,1,4.99,0.1248,2013-08-31 0:00
SO65478,528,1,4.99,0.1248,2013-08-31 0:00
SO65649,528,1,4.99,0.1248,2013-09-03 0:00
SO65654,528,1,4.99,0.1248,2013-09-03 0:00
SO65704,528,1,4.99,0.1248,2013-09-04 0:00
SO65766,528,1,4.99,0.1248,2013-09-05 0:00
SO65922,528,1,4.99,0.1248,2013-09-07 0:00
SO66172,528,1,4.99,0.1248,2013-09-11 0:00
SO66388,528,1,4.99,0.1248,2013-09-15 0:00
SO66601,528,1,4.99,0.1248,2013-09-18 0:00
SO66659,528,1,4.99,0.1248,2013-09-19 0:00
SO66984,528,1,4.99,0.1248,2013-09-24 0:00
SO67037,528,1,4.99,0.1248,2013-09-25 0:00
SO67125,528,1,4.99,0.1248,2013-09-26 0:00
SO67362,528,1,4.99,0.1248,2013-09-29 0:00
SO67364,528,1,4.99,0.1248,2013-09-29 0:00
SO67436,528,1,4.99,0.1248,2013-09-30 0:00
SO67441,528,1,4.99,0.1248,2013-09-30 0:00
SO67517,528,1,4.99,0.1248,2013-10-01 0:00
SO67518,528,1,4.99,0.1248,2013-10-01 0:00
SO67596,528,1,4.99,0.1248,2013-10-02 0:00
SO67800,528,1,4.99,0.1248,2013-10-05 0:00
SO67870,528,1,4.99,0.1248,2013-10-06 0:00
SO68048,528,1,4.99,0.1248,2013-10-09 0:00
SO68119,528,1,4.99,0.1248,2013-10-10 0:00
SO68168,528,1,4.99,0.1248,2013-10-11 0:00
SO68216,528,1,4.99,0.1248,2013-10-12 0:00
SO68223,528,1,4.99,0.1248,2013-10-12 0:00
SO68298,528,1,4.99,0.1248,2013-10-13 0:00
SO68304,528,1,4.99,0.1248,2013-10-13 0:00
SO68364,528,1,4.99,0.1248,2013-10-14 0:00
SO68488,528,1,4.99,0.1248,2013-10-16 0:00
SO68639,528,1,4.99,0.1248,2013-10-18 0:00
SO68707,528,1,4.99,0.1248,2013-10-19 0:00
SO68712,528,1,4.99,0.1248,2013-10-19 0:00
SO68764,528,1,4.99,0.1248,2013-10-20 0:00
SO68765,528,1,4.99,0.1248,2013-10-20 0:00
SO68766,528,1,4.99,0.1248,2013-10-20 0:00
SO68908,528,1,4.99,0.1248,2013-10-22 0:00
SO68979,528,1,4.99,0.1248,2013-10-23 0:00
SO69277,528,1,4.99,0.1248,2013-10-27 0:00
SO69686,528,1,4.99,0.1248,2013-10-30 0:00
SO69687,528,1,4.99,0.1248,2013-10-30 0:00
SO69688,528,1,4.99,0.1248,2013-10-30 0:00
SO69690,528,1,4.99,0.1248,2013-10-30 0:00
SO69691,528,1,4.99,0.1248,2013-10-30 0:00
SO69692,528,1,4.99,0.1248,2013-10-30 0:00
SO69830,528,1,4.99,0.1248,2013-11-01 0:00
SO69832,528,1,4.99,0.1248,2013-11-01 0:00
SO69893,528,1,4.99,0.1248,2013-11-02 0:00
SO69895,528,1,4.99,0.1248,2013-11-02 0:00
SO69969,528,1,4.99,0.1248,2013-11-03 0:00
SO69978,528,1,4.99,0.1248,2013-11-03 0:00
SO70119,528,1,4.99,0.1248,2013-11-05 0:00
SO70275,528,1,4.99,0.1248,2013-11-07 0:00
SO70285,528,1,4.99,0.1248,2013-11-07 0:00
SO70394,528,1,4.99,0.1248,2013-11-09 0:00
SO70539,528,1,4.99,0.1248,2013-11-11 0:00
SO70772,528,1,4.99,0.1248,2013-11-14 0:00
SO70888,528,1,4.99,0.1248,2013-11-16 0:00
SO70899,528,1,4.99,0.1248,2013-11-16 0:00
SO71459,528,1,4.99,0.1248,2013-11-24 0:00
SO71519,528,1,4.99,0.1248,2013-11-25 0:00
SO71520,528,1,4.99,0.1248,2013-11-25 0:00
SO71523,528,1,4.99,0.1248,2013-11-25 0:00
SO71584,528,1,4.99,0.1248,2013-11-26 0:00
SO71648,528,1,4.99,0.1248,2013-11-27 0:00
SO71732,528,1,4.99,0.1248,2013-11-28 0:00
SO71735,528,1,4.99,0.1248,2013-11-28 0:00
SO71967,528,1,4.99,0.1248,2013-11-29 0:00
SO72024,528,1,4.99,0.1248,2013-11-30 0:00
SO72079,528,1,4.99,0.1248,2013-12-01 0:00
SO72159,528,1,4.99,0.1248,2013-12-02 0:00
SO72304,528,1,4.99,0.1248,2013-12-04 0:00
SO72305,528,1,4.99,0.1248,2013-12-04 0:00
SO72377,528,1,4.99,0.1248,2013-12-05 0:00
SO72378,528,1,4.99,0.1248,2013-12-05 0:00
SO72380,528,1,4.99,0.1248,2013-12-05 0:00
SO72456,528,1,4.99,0.1248,2013-12-06 0:00
SO72463,528,1,4.99,0.1248,2013-12-06 0:00
SO72533,528,1,4.99,0.1248,2013-12-07 0:00
SO72534,528,1,4.99,0.1248,2013-12-07 0:00
SO72607,528,1,4.99,0.1248,2013-12-08 0:00
SO72685,528,1,4.99,0.1248,2013-12-09 0:00
SO72752,528,1,4.99,0.1248,2013-12-10 0:00
SO72812,528,1,4.99,0.1248,2013-12-11 0:00
SO72887,528,1,4.99,0.1248,2013-12-12 0:00
SO72980,528,1,4.99,0.1248,2013-12-13 0:00
SO72989,528,1,4.99,0.1248,2013-12-13 0:00
SO73057,528,1,4.99,0.1248,2013-12-14 0:00
SO73128,528,1,4.99,0.1248,2013-12-15 0:00
SO73203,528,1,4.99,0.1248,2013-12-16 0:00
SO73205,528,1,4.99,0.1248,2013-12-16 0:00
SO73209,528,1,4.99,0.1248,2013-12-16 0:00
SO73210,528,1,4.99,0.1248,2013-12-16 0:00
SO73434,528,1,4.99,0.1248,2013-12-19 0:00
SO73449,528,1,4.99,0.1248,2013-12-19 0:00
SO73610,528,1,4.99,0.1248,2013-12-21 0:00
SO73666,528,1,4.99,0.1248,2013-12-22 0:00
SO73816,528,1,4.99,0.1248,2013-12-24 0:00
SO73833,528,1,4.99,0.1248,2013-12-24 0:00
SO73895,528,1,4.99,0.1248,2013-12-25 0:00
SO73897,528,1,4.99,0.1248,2013-12-25 0:00
SO73973,528,1,4.99,0.1248,2013-12-26 0:00
SO73974,528,1,4.99,0.1248,2013-12-26 0:00
SO73976,528,1,4.99,0.1248,2013-12-26 0:00
SO73986,528,1,4.99,0.1248,2013-12-26 0:00
SO74111,528,1,4.99,0.1248,2013-12-28 0:00
SO74171,528,1,4.99,0.1248,2013-12-29 0:00
SO74265,528,1,4.99,0.1248,2014-01-01 0:00
SO74285,528,1,4.99,0.1248,2014-01-02 0:00
SO74325,528,1,4.99,0.1248,2014-01-03 0:00
SO74395,528,1,4.99,0.1248,2014-01-05 0:00
SO74396,528,1,4.99,0.1248,2014-01-05 0:00
SO74429,528,1,4.99,0.1248,2014-01-06 0:00
SO74452,528,1,4.99,0.1248,2014-01-07 0:00
SO74456,528,1,4.99,0.1248,2014-01-07 0:00
SO74465,528,1,4.99,0.1248,2014-01-07 0:00
SO74573,528,1,4.99,0.1248,2014-01-11 0:00
SO74580,528,1,4.99,0.1248,2014-01-11 0:00
SO74629,528,1,4.99,0.1248,2014-01-13 0:00
SO74708,528,1,4.99,0.1248,2014-01-15 0:00
SO74715,528,1,4.99,0.1248,2014-01-15 0:00
SO74731,528,1,4.99,0.1248,2014-01-16 0:00
SO74750,528,1,4.99,0.1248,2014-01-16 0:00
SO74827,528,1,4.99,0.1248,2014-01-19 0:00
SO74867,528,1,4.99,0.1248,2014-01-20 0:00
SO74899,528,1,4.99,0.1248,2014-01-21 0:00
SO74957,528,1,4.99,0.1248,2014-01-23 0:00
SO74986,528,1,4.99,0.1248,2014-01-24 0:00
SO75105,528,1,4.99,0.1248,2014-01-28 0:00
SO75106,528,1,4.99,0.1248,2014-01-28 0:00
SO51899,477,1,4.99,0.1248,2013-01-28 0:00
SO51947,477,1,4.99,0.1248,2013-01-29 0:00
SO51989,477,1,4.99,0.1248,2013-01-30 0:00
SO52133,477,1,4.99,0.1248,2013-02-02 0:00
SO52183,477,1,4.99,0.1248,2013-02-03 0:00
SO52186,477,1,4.99,0.1248,2013-02-03 0:00
SO52187,477,1,4.99,0.1248,2013-02-03 0:00
SO52235,477,1,4.99,0.1248,2013-02-04 0:00
SO52241,477,1,4.99,0.1248,2013-02-04 0:00
SO52242,477,1,4.99,0.1248,2013-02-04 0:00
SO52306,477,1,4.99,0.1248,2013-02-05 0:00
SO52592,477,1,4.99,0.1248,2013-02-11 0:00
SO52694,477,1,4.99,0.1248,2013-02-13 0:00
SO52745,477,1,4.99,0.1248,2013-02-14 0:00
SO52799,477,1,4.99,0.1248,2013-02-15 0:00
SO52802,477,1,4.99,0.1248,2013-02-15 0:00
SO52864,477,1,4.99,0.1248,2013-02-16 0:00
SO52985,477,1,4.99,0.1248,2013-02-19 0:00
SO53212,477,1,4.99,0.1248,2013-02-23 0:00
SO53311,477,1,4.99,0.1248,2013-02-25 0:00
SO53421,477,1,4.99,0.1248,2013-02-27 0:00
SO53799,477,1,4.99,0.1248,2013-03-03 0:00
SO53801,477,1,4.99,0.1248,2013-03-03 0:00
SO53802,477,1,4.99,0.1248,2013-03-03 0:00
SO53844,477,1,4.99,0.1248,2013-03-04 0:00
SO53895,477,1,4.99,0.1248,2013-03-05 0:00
SO54001,477,1,4.99,0.1248,2013-03-07 0:00
SO54058,477,1,4.99,0.1248,2013-03-08 0:00
SO54059,477,1,4.99,0.1248,2013-03-08 0:00
SO54063,477,1,4.99,0.1248,2013-03-08 0:00
SO54158,477,1,4.99,0.1248,2013-03-10 0:00
SO54160,477,1,4.99,0.1248,2013-03-10 0:00
SO54281,477,1,4.99,0.1248,2013-03-12 0:00
SO54283,477,1,4.99,0.1248,2013-03-12 0:00
SO54400,477,1,4.99,0.1248,2013-03-14 0:00
SO54401,477,1,4.99,0.1248,2013-03-14 0:00
SO54448,477,1,4.99,0.1248,2013-03-15 0:00
SO54556,477,1,4.99,0.1248,2013-03-17 0:00
SO54624,477,1,4.99,0.1248,2013-03-18 0:00
SO54684,477,1,4.99,0.1248,2013-03-19 0:00
SO54842,477,1,4.99,0.1248,2013-03-22 0:00
SO54905,477,1,4.99,0.1248,2013-03-23 0:00
SO54998,477,1,4.99,0.1248,2013-03-25 0:00
SO55000,477,1,4.99,0.1248,2013-03-25 0:00
SO55056,477,1,4.99,0.1248,2013-03-26 0:00
SO55162,477,1,4.99,0.1248,2013-03-28 0:00
SO55201,477,1,4.99,0.1248,2013-03-29 0:00
SO55414,477,1,4.99,0.1248,2013-03-31 0:00
SO55524,477,1,4.99,0.1248,2013-04-02 0:00
SO55527,477,1,4.99,0.1248,2013-04-02 0:00
SO55576,477,1,4.99,0.1248,2013-04-03 0:00
SO55631,477,1,4.99,0.1248,2013-04-04 0:00
SO55705,477,1,4.99,0.1248,2013-04-05 0:00
SO55763,477,1,4.99,0.1248,2013-04-06 0:00
SO55942,477,1,4.99,0.1248,2013-04-09 0:00
SO55991,477,1,4.99,0.1248,2013-04-10 0:00
SO55992,477,1,4.99,0.1248,2013-04-10 0:00
SO56043,477,1,4.99,0.1248,2013-04-11 0:00
SO56153,477,1,4.99,0.1248,2013-04-13 0:00
SO56203,477,1,4.99,0.1248,2013-04-14 0:00
SO56246,477,1,4.99,0.1248,2013-04-15 0:00
SO56400,477,1,4.99,0.1248,2013-04-18 0:00
SO56456,477,1,4.99,0.1248,2013-04-19 0:00
SO56503,477,1,4.99,0.1248,2013-04-20 0:00
SO56559,477,1,4.99,0.1248,2013-04-21 0:00
SO56659,477,1,4.99,0.1248,2013-04-23 0:00
SO56774,477,1,4.99,0.1248,2013-04-25 0:00
SO56872,477,1,4.99,0.1248,2013-04-27 0:00
SO56978,477,1,4.99,0.1248,2013-04-29 0:00
SO57269,477,1,4.99,0.1248,2013-05-01 0:00
SO57331,477,1,4.99,0.1248,2013-05-02 0:00
SO57332,477,1,4.99,0.1248,2013-05-02 0:00
SO57391,477,1,4.99,0.1248,2013-05-03 0:00
SO57396,477,1,4.99,0.1248,2013-05-03 0:00
SO57447,477,1,4.99,0.1248,2013-05-04 0:00
SO57552,477,1,4.99,0.1248,2013-05-06 0:00
SO57650,477,1,4.99,0.1248,2013-05-08 0:00
SO57715,477,1,4.99,0.1248,2013-05-09 0:00
SO58095,477,1,4.99,0.1248,2013-05-16 0:00
SO58377,477,1,4.99,0.1248,2013-05-21 0:00
SO58439,477,1,4.99,0.1248,2013-05-22 0:00
SO58607,477,1,4.99,0.1248,2013-05-25 0:00
SO58663,477,1,4.99,0.1248,2013-05-26 0:00
SO58729,477,1,4.99,0.1248,2013-05-27 0:00
SO58734,477,1,4.99,0.1248,2013-05-27 0:00
SO58865,477,1,4.99,0.1248,2013-05-29 0:00
SO59162,477,1,4.99,0.1248,2013-05-31 0:00
SO59167,477,1,4.99,0.1248,2013-05-31 0:00
SO59168,477,1,4.99,0.1248,2013-05-31 0:00
SO59434,477,1,4.99,0.1248,2013-06-04 0:00
SO59599,477,1,4.99,0.1248,2013-06-06 0:00
SO59776,477,1,4.99,0.1248,2013-06-09 0:00
SO59779,477,1,4.99,0.1248,2013-06-09 0:00
SO59851,477,1,4.99,0.1248,2013-06-10 0:00
SO59853,477,1,4.99,0.1248,2013-06-10 0:00
SO59854,477,1,4.99,0.1248,2013-06-10 0:00
SO60210,477,1,4.99,0.1248,2013-06-15 0:00
SO60275,477,1,4.99,0.1248,2013-06-16 0:00
SO60399,477,1,4.99,0.1248,2013-06-18 0:00
SO60584,477,1,4.99,0.1248,2013-06-21 0:00
SO60588,477,1,4.99,0.1248,2013-06-21 0:00
SO60589,477,1,4.99,0.1248,2013-06-21 0:00
SO60658,477,1,4.99,0.1248,2013-06-22 0:00
SO60717,477,1,4.99,0.1248,2013-06-23 0:00
SO60787,477,1,4.99,0.1248,2013-06-24 0:00
SO60790,477,1,4.99,0.1248,2013-06-24 0:00
SO60791,477,1,4.99,0.1248,2013-06-24 0:00
SO60910,477,1,4.99,0.1248,2013-06-26 0:00
SO60983,477,1,4.99,0.1248,2013-06-27 0:00
SO61127,477,1,4.99,0.1248,2013-06-29 0:00
SO61294,477,1,4.99,0.1248,2013-06-30 0:00
SO61742,477,1,4.99,0.1248,2013-07-08 0:00
SO61749,477,1,4.99,0.1248,2013-07-08 0:00
SO61807,477,1,4.99,0.1248,2013-07-09 0:00
SO61808,477,1,4.99,0.1248,2013-07-09 0:00
SO61937,477,1,4.99,0.1248,2013-07-11 0:00
SO62049,477,1,4.99,0.1248,2013-07-13 0:00
SO62113,477,1,4.99,0.1248,2013-07-14 0:00
SO62158,477,1,4.99,0.1248,2013-07-15 0:00
SO62195,477,1,4.99,0.1248,2013-07-15 0:00
SO62259,477,1,4.99,0.1248,2013-07-16 0:00
SO62311,477,1,4.99,0.1248,2013-07-17 0:00
SO62362,477,1,4.99,0.1248,2013-07-18 0:00
SO62599,477,1,4.99,0.1248,2013-07-22 0:00
SO62600,477,1,4.99,0.1248,2013-07-22 0:00
SO62902,477,1,4.99,0.1248,2013-07-27 0:00
SO62963,477,1,4.99,0.1248,2013-07-28 0:00
SO63313,477,1,4.99,0.1248,2013-07-31 0:00
SO63381,477,1,4.99,0.1248,2013-08-01 0:00
SO63384,477,1,4.99,0.1248,2013-08-01 0:00
SO63452,477,1,4.99,0.1248,2013-08-02 0:00
SO63521,477,1,4.99,0.1248,2013-08-03 0:00
SO63522,477,1,4.99,0.1248,2013-08-03 0:00
SO63648,477,1,4.99,0.1248,2013-08-05 0:00
SO63712,477,1,4.99,0.1248,2013-08-06 0:00
SO63781,477,1,4.99,0.1248,2013-08-07 0:00
SO63782,477,1,4.99,0.1248,2013-08-07 0:00
SO63847,477,1,4.99,0.1248,2013-08-08 0:00
SO63903,477,1,4.99,0.1248,2013-08-09 0:00
SO64328,477,1,4.99,0.1248,2013-08-16 0:00
